,Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Migration Route,UNSD Geographical Grouping,Source Quality,Latitude,Longitude
1476,44634,US-Mexico Border,14-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown (skeletal remains),"Pima County, Arizona, USA",Pima County Office of the Medical Examiner,Central America to US,Northern America,5,31.846447800000, -112.177647100000
1477,50900,North Africa,14-Feb-18,2018,Feb,2.0,,2,,,2.0,,Shot or stabbed,"Between Bani Waled and Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,31.832941000000, 13.911184000000
1478,44411,Middle East,13-Feb-18,2018,Feb,4.0,3.0,7,1.0,3.0,2.0,2.0,Presumed drowning,"Evros river, Edirne, Turkey, near border with Greece",Turkey Disaster and Emergency Management Directorate via IOM Turkey,,Western Asia,5,41.661457794142, 26.494433918014
1479,44412,Mediterranean,13-Feb-18,2018,Feb,1.0,,1,,,1.0,,Drowning,"Sidi Mejdoub beach, west of Mostaganem, Algeria","IOM Algeria, Alg24",Western Mediterranean,Uncategorized,1,35.971216093787, 0.070161184473
1480,50894,North Africa,13-Feb-18,2018,Feb,1.0,,1,,,1.0,1.0,"Sickness and lack of access to medicines, Starvation, Dehydration","Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,23.719983000000, 16.166288000000
1481,50895,North Africa,13-Feb-18,2018,Feb,3.0,,3,,1.0,1.0,,Vehicle Accident,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,24.522137000000, 13.663347000000
1482,50896,Sub-Saharan Africa,13-Feb-18,2018,Feb,6.0,,6,,,6.0,,"Dehydration, Suffocation","Sahara desert, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),,Western Africa,2,22.263680000000, 13.311943000000
1483,50897,North Africa,13-Feb-18,2018,Feb,2.0,,2,,1.0,1.0,1.0,"Harsh weather/lack of adequate shelter, Vehicle Accident","Sahara desert, Ash Shamaliyah, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,20.610678000000, 27.916851000000
1484,50898,Sub-Saharan Africa,13-Feb-18,2018,Feb,1.0,,1,,,1.0,,Unknown,"Gao, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),,Western Africa,2,16.305456000000, -0.088230000000
1485,50899,Sub-Saharan Africa,13-Feb-18,2018,Feb,1.0,,1,,1.0,,,Sickness and lack of access to medicines,"Segou, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),,Western Africa,2,13.436756000000, -6.242715000000
1486,44405,Mediterranean,12-Feb-18,2018,Feb,1.0,,1,,1.0,,1.0,Presumed drowning,"Unspecified location in the Gibraltar Strait, between Morocco and Spain",Caminando Fronteras,Western Mediterranean,Uncategorized,4,35.949766199352, -5.309639687500
1487,44409,Mediterranean,12-Feb-18,2018,Feb,1.0,,1,,,1.0,,Drowning,"Near Port of Cabopino, Málaga, Spain","Málaga Hoy, La Vanguardia, Onda Local",Western Mediterranean,Uncategorized,3,36.480420966708, -4.740933306885
1488,44410,US-Mexico Border,12-Feb-18,2018,Feb,1.0,,1,,,1.0,,Drowning,"Río Bravo, near San Miguel Nuevo, Gustavo Díaz Ordaz, Tamaulipas, Mexico","El Mañana, La Prensa Gráfica",Central America to US,Central America,1,26.256525231868, -98.600648765637
1489,50891,North Africa,12-Feb-18,2018,Feb,1.0,,1,,,1.0,,Fall from vehicle,"Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,23.880815000000, 13.038345000000
1490,50892,North Africa,12-Feb-18,2018,Feb,3.0,,3,,1.0,2.0,1.0,"Starvation, Suffocation, Excessive Physical Abuse","Sahara desert, Sudan, near the border with Egypt",Mixed Migration Monitoring Mechanism Initiative (4mi),,Northern Africa,2,21.943709000000, 27.672666000000
1491,50893,Sub-Saharan Africa,12-Feb-18,2018,Feb,1.0,,1,,,1.0,1.0,Vehicle Accident,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),,Western Africa,2,12.669425000000, -7.909603000000
1492,44403,Mediterranean,11-Feb-18,2018,Feb,,5.0,5,29.0,,,,Presumed drowning,"22 miles off Cabo Tres Forcas, Nador, Morocco","Caminando Fronteras, Europa Press",Western Mediterranean,Uncategorized,4,35.585153669322, -2.957796002344
